document_index,sentence,sentence_index,class
business_2,"Mr Ebbers' lawyer Reid Weingarten has suggested that The former chief financial officer at US telecoms firm WorldCom is implicating his former boss Bernard Ebbers only to win a lighter sentence, something The former chief financial officer at US telecoms firm WorldCom denies.",business_2_10,business
business_2,The former chief financial officer at US telecoms firm WorldCom also rejects a suggestion that The former chief financial officer at US telecoms firm WorldCom had once told fellow WorldCom board member Bert Roberts that his former boss Bernard Ebbers was unaware of the accounting fraud at WorldCom.,business_2_11,business
business_2,The trial of his former boss Bernard Ebbers is now into the trial of his former boss Bernard Ebbers's third week.,business_2_12,business
business_2,"Under 23 hours of questioning from a federal prosecutor, The former chief financial officer at US telecoms firm WorldCom has previously told a New York court that The former chief financial officer at US telecoms firm WorldCom repeatedly warned his former boss Bernard Ebbers that falsifying the books would be the only way to meet Wall Street revenue and earnings expectations.",business_2_13,business
business_2,The former chief financial officer at US telecoms firm WorldCom claims that his former boss Bernard Ebbers refused to stop the hole in WorldCom's finances.,business_2_14,business
business_2,his former boss Bernard Ebbers could face a sentence of 85 years if convicted of all the charges his former boss Bernard Ebbers is facing.,business_2_15,business
business_2,WorldCom's problems appear to have begun with the collapse of the dotcom boom which cut WorldCom's business from internet companies.,business_2_16,business
business_2,Prosecutors allege that WorldCom's top executives responded by orchestrating massive fraud over a two-year period.,business_2_17,business
business_2,"WorldCom emerged from bankruptcy protection in 2004, and is now known as MCI.",business_2_18,business
business_3,"Glaxo aims high after profit fall Glaxo saw Glaxo's profits fall 9% last year to £6.2bn ($11.5bn), but Glaxo says a recovery during 2005 is on the way.",business_3_0,business
business_3,"Cheap copies of Glaxo's drugs, particularly anti-depressants Paxil and Wellbutrin, and a weak dollar had hit profits, but global sales were up 1% in last year.",business_3_1,business
business_3,Glaxo is confident Glaxo's new drug pipeline will deliver profits despite the failure of an obesity drug.,business_3_2,business
business_3,"Chief executive Jean-Pierre Garnier said it had been a ""difficult year"".",business_3_3,business
business_3,In early afternoon trade in London the company share price was down 1% at 1218 pence.,business_3_4,business
business_3,Chief executive Jean-Pierre Garnier said Glaxo had absorbed over £1.5bn of lost sales to generics but still managing to grow the business.,business_3_5,business
business_3,"""The continuing success of Glaxo's key products means Glaxo can now look forward to a good performance in 2005,"" Chief executive Jean-Pierre Garnier said.",business_3_6,business
business_3,"""2005 will also be an important year in terms of research and development pipeline progress.""",business_3_7,business
business_3,"However, Glaxo discontinued development of an obesity drug after disappointing clinical trial results.",business_3_8,business
business_3,"Glaxo is relying on new treatments for conditions such as cancer, diabetes, depression, HIV/AIDS and allergies to lift the pace of sales growth after several disappointing years.",business_3_9,business
business_4,"Peugeot deal boosts Mitsubishi Mitsubishi has struck a deal to supply Peugeot with 30,000 sports utility vehicles (SUV).",business_4_0,business
business_4,"The two firms signed a Memorandum of Understanding, and say The two firms expect to seal a final agreement by Spring 2005.",business_4_1,business
business_4,"a Memorandum of Understanding comes as a badly-needed boost for Mitsubishi, after several profit warnings and poor sales.",business_4_2,business
business_4,"30,000 sports utility vehicles (SUV) will be built in Japan using Peugeot's diesel engines and sold mainly in the European market.",business_4_3,business
business_4,"Falling sales have left Mitsubishi with underused capacity, and the production deal with Peugeot gives Mitsubishi a chance to utilise some of underused capacity.",business_4_4,business
business_4,"In January, Mitsubishi issued Mitsubishi's third profits warning in nine months, and cut Mitsubishi's sales forecasts for the year to March 2005.",business_4_5,business
business_4,"Mitsubishi's sales have slid 41% in the past year, catalysed by the revelation that Mitsubishi had systematically been hiding records of faults and then secretly repairing vehicles.",business_4_6,business
business_4,"As a result, Mitsubishi has sought a series of financial bailouts.",business_4_7,business
business_4,"Last month Mitsubishi said Mitsubishi was looking for a further 540bn yen ($5.2bn; £2.77bn) in fresh financial backing, half of a further 540bn yen ($5.2bn; £2.77bn) in fresh financial backing from other companies in the Mitsubishi group.",business_4_8,business
business_4,"US-German carmaker DaimlerChrylser, a 30% shareholder in Mitsubishi, decided in April 2004 not to pump in any more money.",business_4_9,business
business_4,"The deal with Peugeot was celebrated by Mitsubishi's newly-appointed chief executive Takashi Nishioka, who took over after three top bosses stood down Last month to shoulder responsibility for Mitsubishi's troubles.",business_4_10,business
business_4,Mitsubishi has forecast a net loss of 472bn yen in Mitsubishi's current financial year to March 2005.,business_4_11,business
business_4,"Last month, Mitsubishi signed a production agreement with Japanese rival Nissan Motor to supply Mitsubishi with 36,000 small cars for sale in Japan.",business_4_12,business
business_4,Mitsubishi has been making cars for Japanese rival Nissan Motor since 2003.,business_4_13,business
business_5,"US adds more jobs than expected The US economy added 337,000 jobs in October - a seven-month high and far more than Wall Street expectations.",business_5_0,business
business_5,"In a welcome economic boost for newly re-elected President George W Bush, the Labor Department figures come after a slow summer of weak jobs gains.",business_5_1,business
business_5,Jobs were created in every sector of The US economy except manufacturing.,business_5_2,business
business_5,"While the separate unemployment rate went up to 5.5% from 5.4% in September, this was because more people were now actively seeking work.",business_5_3,business
business_5,"The 337,000 new jobs added to US payrolls in October was twice the 169,000 figure that Wall Street economists had forecast.",business_5_4,business
business_5,"In addition, Labor Department revised up the number of jobs created in the two previous months - to 139,000 in September instead of 96,000, and to 198,000 in August instead of 128,000.",business_5_5,business
business_5,"the Labor Department figures had an immediate upward effect on stocks in New York, with the main Dow Jones index gaining 45.4 points to 10,360 by late morning trading.",business_5_6,business
business_5,"""It looks like the job situation is improving and that this will support consumer spending going into the holidays, and offset some of the drag caused by high oil prices this year,"" said economist Gary Thayer of AG Edwards & Sons.",business_5_7,business
business_5,Other analysts said the Labor Department figures made it more likely that the US Federal Reserve would increase interest rates by a quarter of a percentage point to 2% when the US Federal Reserve meets next week.,business_5_8,business
business_5,"""the Labor Department figures should empower the US Federal Reserve to clearly do something,"" said Robert MacIntosh, chief economist with Eaton Vance Management in Boston.",business_5_9,business
business_5,"Kathleen Utgoff, commissioner of Labor Department, said many of the 71,000 new construction jobs added in October were involved in rebuilding and clean-up work in Florida, and neighbouring Deep South states, following four hurricanes in August and September.",business_5_10,business
business_5,"The dollar rose temporarily on the job creation news before falling back to a new record low against the euro, as investors returned investors's attention to other economic factors, such as the US's record trade deficit.",business_5_11,business
business_5,There is also speculation that newly re-elected President George W Bush will deliberately try to keep The dollar low in order to assist a growth in exports.,business_5_12,business
business_6,"German jobless rate at new record More than 5.2 million Germans were out of work in February, new figures The news.",business_6_0,business
business_6,new record is the highest jobless rate in Europe's biggest economy since the 1930s.,business_6_1,business
business_6,The news comes as the head of Germany's's panel of government economic advisers predicted growth would again stagnate.,business_6_2,business
business_6,"Speaking on German TV, the head of Germany's panel of government economic advisers said Germany's panel of government economic advisers's earlier forecast of 1.4% was too optimistic and warned growth would be just 1% in 2005.",business_6_3,business
business_6,Germany's is trying to tackle the stubbornly-high levels of joblessness with a range of labour market reforms.,business_6_4,business
business_6,"At Germany's's centre is the ""Hartz-IV"" programme introduced in January to shake up welfare benefits and push people back into work - even if some of the jobs are heavily subsidised.",business_6_5,business
business_6,new figures look set to increase the pressure on Germany's.,business_6_6,business
business_6,"Widely leaked to the German newspapers a day in advance, new figures produced screaming headlines criticising Chancellor Gerhard Schroeder's's Social Democrat-Green Party administration.",business_6_7,business
business_6,Chancellor Gerhard Schroeder's had originally come into office promising to halve unemployment.,business_6_8,business
business_6,"Still, some measures suggest the picture is not quite so bleak.",business_6_9,business
business_6,"new record follows a change in the methodology which pushed up the jobless rate by more than 500,000 in January.",business_6_10,business
business_6,"Adjusted for seasonal changes, the jobless rate is 4.875 million people or 11.7%, up 0.3 percentage points from the previous month.",business_6_11,business
business_6,"Using the most internationally-accepted methodology of the International Labour Organisation (ILO), Germany's had 3.97 million people out of work in January.",business_6_12,business
business_6,"And the International Labour Organisation (ILO)-based figures also suggest that 14,000 new net jobs were created January, taking the number of people employed to 38.9 million.",business_6_13,business
business_6,the International Labour Organisation (ILO) defines an unemployed person as someone who in the previous four weeks had actively looked for work someone who in the previous four weeks had actively looked for work they could take up immediately could take up immediately.,business_6_14,business
business_7,"Weak dollar trims Cadbury profits The world's biggest confectionery firm, Cadbury Schweppes, has reported a modest rise in profits after Weak dollar took a bite out of Cadbury's results.",business_7_0,business
business_7,"Underlying pre-tax profits rose 1% to £933m ($1.78bn) in 2004, but would have been 8% higher if currency movements were stripped out.",business_7_1,business
business_7,"The owner of brands such as Dairy Milk, Dr Pepper and Snapple generates more than 80% of Cadbury's sales outside the UK.",business_7_2,business
business_7,Cadbury said Cadbury was confident Cadbury would hit Cadbury's targets for 2005.,business_7_3,business
business_7,"""While the external commercial environment remains competitive, Cadbury are confident that Cadbury have the strategy, brands and people to deliver within Cadbury's goal ranges in 2005,"" said chief executive Todd Stitzer.",business_7_4,business
business_7,a modest rise in profits had been expected by analysts after Cadbury said in December that the poor summer weather had hit soft drink sales in Europe.,business_7_5,business
business_7,Cadbury said Cadbury's underlying sales were up by 4% in 2004.,business_7_6,business
business_7,"Growth was helped by Cadbury's confectionery brands - including Cadbury, Trident and Halls - which enjoyed a ""successful"" year, with like-for-like sales up 6%.",business_7_7,business
business_7,"Drinks sales were up 2% with strong growth in US carbonated soft drinks, led by Dr Pepper and diet drinks, offset by the weaker sales in Europe.",business_7_8,business
business_7,"Cadbury added that Cadbury's Fuel for Growth cost-cutting programme had saved £75m in 2004, bringing total cost savings to £100m since its Fuel for Growth cost-cutting programme began in mid-2003.",business_7_9,business
business_7,its Fuel for Growth cost-cutting programme is set to close 20% of Cadbury's factories and shed 10% of the workforce.,business_7_10,business
business_7,"Cadbury employs more than 50,000 people worldwide, with about 7,000 in the UK.",business_7_11,business
business_8,Oil prices fall back from highs Oil prices retreated from four-month highs in early trading on Tuesday after producers' cartel Opec said producers' cartel Opec was now unlikely to cut production.,business_8_0,business
business_8,"Following the comments by acting producers' cartel Opec secretary general Adnan Shihab-Eldin, US light crude fell 32 cents to $51.43 a barrel.",business_8_1,business
business_8,acting Opec secretary general Adnan Shihab-Eldin said that high oil prices meant producers' cartel Opec was unlikely to stick to producers' cartel Opec's plan to cut output in the second quarter.,business_8_2,business
business_8,"In London, Brent crude fell 32 cents to $49.74 a barrel.",business_8_3,business
business_8,producers' cartel Opec members are next meeting to discuss production levels on 16 March.,business_8_4,business
business_8,"On Monday, oil prices rose for a sixth straight session, reaching a four-month high as cold weather in the US threatened stocks of heating oil.",business_8_5,business
business_8,"US demand for heating oil was predicted to be about 14% above normal this week, while stocks were currently about 7.5% below the levels of a year ago.",business_8_6,business
business_8,Cold weather across Europe has also put upward pressure on crude prices.,business_8_7,business
business_9,Winn-Dixie files for bankruptcy Winn-Dixie has files for bankruptcy protection after succumbing to stiff competition in a market dominated by Wal-Mart.,business_9_0,business
business_9,Winn-Dixie said bankruptcy protection would enable Winn-Dixie to successfully restructure.,business_9_1,business
business_9,"Winn-Dixie said Winn-Dixie's 920 stores would remain open, but analysts said Winn-Dixie would most likely off-load a number of sites.",business_9_2,business
business_9,Winn-Dixie has total debts of $1.87bn (£980m).,business_9_3,business
business_9,"In Winn-Dixie's bankruptcy petition Winn-Dixie listed Winn-Dixie's biggest creditor as US foods giant Kraft Foods, which Winn-Dixie owes $15.1m. Analysts say Winn-Dixie had not kept up with consumers' demands and had also been burdened by a number of stores in need of upgrading.",business_9_4,business
business_9,"A 10-month restructuring plan was deemed a failure, and following a larger-than-expected quarterly loss earlier this month, Winn-Dixie's slide into bankruptcy was widely expected.",business_9_5,business
business_9,Winn-Dixie's new chief executive Peter Lynch said Winn-Dixie would use the Chapter 11 breathing space to take the necessary action to turn Winn-Dixie around.,business_9_6,business
business_9,"""the necessary action to turn itself around includes achieving significant cost reductions, improving the merchandising and customer service in all locations and generating a sense of excitement in its 920 stores,"" The company's new chief executive Peter Lynch said.",business_9_7,business
business_9,"Yet Evan Mann, a senior bond analyst at Gimme Credit, said The company's new chief executive Peter Lynch's job would not be easy, as bankruptcy would inevitably put off some customers.",business_9_8,business
business_9,"""The real big issue is what's going to happen over the next one or two quarters now that Winn-Dixie are in bankruptcy and all Winn-Dixie's customers see this in all their customers's local newspapers,"" Evan Mann, a senior bond analyst at Gimme Credit, said.",business_9_9,business
business_10,"Saab to build Cadillacs in Sweden General Motors, the world's largest car maker, has GM's announcement that General Motors, the world's largest car maker, will build a new medium-sized Cadillac BLS at General Motors, the world's largest car maker,'s loss-making Saab factory in Sweden.",business_10_0,business
business_10,"The car, unveiled at the Geneva motor show, is intended to compete in the medium-sized luxury car market.",business_10_1,business
business_10,"a new medium-sized Cadillac BLS will not be sold in the US, said GM Europe president Carl-Peter Forster.",business_10_2,business
business_10,"As part of General Motors, the world's largest car maker,'s efforts to make a new medium-sized Cadillac BLS appeal to European drivers, a new medium-sized Cadillac BLS will be the first Cadillac with a diesel engine.",business_10_3,business
business_10,"General Motors, the world's largest car maker,'s announcement should go some way to allay fears of the Saab factory's closure.",business_10_4,business
business_10,"its loss-making Saab factory in Sweden has been at the centre of rumours about General Motors, the world's largest car maker,'s planned severe cutbacks in General Motors, the world's largest car maker,'s troubled European operations.",business_10_5,business
business_10,"But General Motors, the world's largest car maker,'s new commitment to its loss-making Saab factory in Sweden may not be welcomed by General Motors, the world's largest car maker,'s Opel workers in Ruesselsheim, Germany.",business_10_6,business
business_10,"the group's Opel workers in Ruesselsheim, Germany may now have to face a larger proportion of General Motors, the world's largest car maker,'s cuts.",business_10_7,business
business_10,"Neither will GM's announcement be seen as unalloyed good news in Sweden, since GM's announcement reflects Saab's failure to make significant inroads into the lucrative European luxury car market.",business_10_8,business
business_10,"For years, Saab has consistently said Saab is competing head-on with BMW, Mercedes and Jaguar.",business_10_9,business
business_10,the lucrative European luxury car market's leaders do not agree.,business_10_10,business
business_10,"General Motors, the world's largest car maker,'s plans to build a new medium-sized Cadillac BLS in Sweden is part of General Motors, the world's largest car maker,'s efforts to push a new medium-sized Cadillac BLS as an alternative luxury brand for European drivers.",business_10_11,business
business_10,"In the US, a new medium-sized Cadillac BLS has long been established as an upmarket brand - even the presidential limousine carries the badge.",business_10_12,business
business_10,Yet it could prove tough for a new medium-sized Cadillac BLS to steal market share from the majors in Europe.,business_10_13,business
business_10,"Other luxury car makers, most notably the Toyota subsidiary Lexus, have enjoyed tremendous success in the US without managing to make significant inroads in Europe.",business_10_14,business
business_10,"There, German marques Mercedes and BMW have retained German marques Mercedes Benz and BMW's stranglehold on the lucrative European luxury car market.",business_10_15,business
business_10,"Bringing a new medium-sized Cadillac BLS production to Sweden should help introduce desperately-needed scale to the Saab factory, which currently produces fewer than 130,000 cars per year.",business_10_16,business
business_10,"fewer than 130,000 cars per year is about half of what major car makers consider sufficient numbers for profitable operations, and Saab is losing money fast - albeit with losses halved in 2004 to $200m (£104m; 151m euros) from $500m the previous year.",business_10_17,business
business_10,"Beyond the 12,000 job cuts announced last year at General Motors, the world's largest car maker,'s European operations, General Motors, the world's largest car maker, is reducing expenditure by building Saabs, Opels - badged as Vauxhalls in the UK - and now Cadillacs on the same framework, and by allowing the different brands to share parts.",business_10_18,business
business_10,"Another way to further reduce Saab's losses could be to shift some of the production of Saab to the US, a market where drivers have adopted Saab as an upmarket European car.",business_10_19,business
business_10,"Doing so would remove the exposure to the weak US dollar, which is making Saab more expensive to US consumers.",business_10_20,business
business_10,But not everyone in the industry agree that it would be the best way forward.,business_10_21,business
business_10,"""a leading European car maker know that in five years the weak US dollar will be stronger than the weak US dollar is today,"" the chief executive of a leading European car maker told BBC News.",business_10_22,business
business_10,"The current trend towards US production was ""stupid"", the chief executive of a leading European car maker said.",business_10_23,business
business_10,"In a separate announcement, General Motors, the world's largest car maker, unveiled a new scheme to allow European consumers the chance to test drive General Motors, the world's largest car maker,'s Opel and Vauxhall models.",business_10_24,business
business_10,"a new scheme to allow European consumers the chance to test drive its Opel and Vauxhall models is to deploy a fleet of 35,000 test cars across 40 countries, inviting potential buyers to try out a vehicle for 24-hours.",business_10_25,business
business_10,"a new scheme to allow European consumers the chance to test drive its Opel and Vauxhall models follows a similar initiative by General Motors, the world's largest car maker, in the US.",business_10_26,business
business_10,"General Motors, the world's largest car maker, said General Motors, the world's largest car maker, wanted to change ""customers''s perceptions"" about Opel and Vauxhall cars, showing customers' that the quality had improved in recent years.",business_10_27,business
business_11,"Bank voted 8-1 for no rate change The decision to keep interest rates on hold at 4.75% earlier this month was passed 8-1 by the Bank of England's's rate-setting body, minutes have The news.",business_11_0,business
business_11,One member of the Bank of England's's Monetary Policy Committee (MPC) - Paul Tucker - voted to an increase rates to 5%.,business_11_1,business
business_11,The news surprised some analysts who had expected minutes to show another unanimous decision.,business_11_2,business
business_11,"Worries over growth rates and consumer spending were behind The decision to keep interest rates on hold at 4.75% earlier this month, minutes showed.",business_11_3,business
business_11,"the Bank of England's's latest inflation report, released last week, had noted that the main reason inflation might fall was weaker consumer spending.",business_11_4,business
business_11,"However, the Bank's Monetary Policy Committee (MPC) member Paul Tucker voted for a quarter point rise in interest rates to 5%.",business_11_5,business
business_11,"One member of the Bank's Monetary Policy Committee (MPC) - Paul Tucker - argued that economic growth was picking up, and that the equity, credit and housing markets had been stronger than expected.",business_11_6,business
business_11,"the Bank of England's's minutes said that risks to the inflation forecast were ""sufficiently to the downside"" to keep rates on hold at the Bank of England's's latest meeting.",business_11_7,business
business_11,"However, minutes added: ""Some members noted that an increase might be warranted in due course if the economy evolved in line with the inflation forecast"".",business_11_8,business
business_11,"Ross Walker, UK economist at Royal Bank of Scotland, said Ross Walker, UK economist at Royal Bank of Scotland was surprised that a dissenting vote had been made so soon.",business_11_9,business
business_11,"Ross Walker, UK economist at Royal Bank of Scotland said minutes appeared to be ""trying to get the market to focus on the possibility of an increase"".",business_11_10,business
business_11,"""If the economy pans out as the market expect then the market are probably going to have to hike rates.""",business_11_11,business
business_11,"However, Ross Walker, UK economist at Royal Bank of Scotland added, any rate increase is not likely to happen until later this year, with the Bank's Monetary Policy Committee (MPC) members likely to look for a more sustainable pick up in consumer spending before acting.",business_11_12,business
business_12,"Industrial revival hope for Japan Japanese industry is growing faster than expected, boosting hopes that Japan's retreat back into recession is over.",business_12_0,business
business_12,Industrial output rose 2.1% - adjusted for the time of year - in January from a month earlier.,business_12_1,business
business_12,"At the same time, retail sales The news up faster than at any time since 1997.",business_12_2,business
business_12,"The news sent Tokyo shares to an eight-month high, as investors hoped for a recovery from the three quarters of contraction seen from April 2004 on.",business_12_3,business
business_12,"The Nikkei 225 index ended the day up 0.7% at 11,740.60 points, with the yen strengthening 0.7% against the dollar to 104.53 yen.",business_12_4,business
business_12,"Weaker exports, normally the engine for Japan's economy in the face of weak domestic demand, had helped trigger a 0.1% contraction in the final three months of last year after two previous quarters of shrinking GDP.",business_12_5,business
business_12,Only an exceptionally strong performance in the early months of last year kept last year from showing a decline.,business_12_6,business
business_12,The output figures brought a cautiously optimistic response from economic officials.,business_12_7,business
business_12,"""Overall Bank of Japan chief Toshihiko Fukui see a low risk of Japan's economy falling into serious recession,"" said Bank of Japan chief Toshihiko Fukui, despite warning that other indicators - such as The output figures - had been worrying.",business_12_8,business
business_12,"Within the overall industrial output figure, there were signs of a pullback from the export slowdown.",business_12_9,business
business_12,"Among the best-performing sectors were key overseas sales areas such as cars, chemicals and electronic goods.",business_12_10,business
business_12,With US growth doing better than expected the picture for exports in early 2005 could also be one of sustained demand.,business_12_11,business
business_12,"Electronics were also one of the keys to the improved domestic market, with products such as flat-screen TVs in high demand during January.",business_12_12,business
business_13,"Khodorkovsky ally denies charges A close associate of former Yukos boss Mikhail Khodorkovsky has told a court that fraud charges levelled against A close associate of former Yukos boss Mikhail Khodorkovsky are ""false"".",business_13_0,business
business_13,A close associate of former Yukos boss Mikhail Khodorkovsky has been on trial alongside Khodorkovsky since June in a case centring around the privatisation of a fertiliser firm.,business_13_1,business
business_13,The pair claim The pair are being punished by the authorities for the political ambitions of Khodorkovsky.,business_13_2,business
business_13,"A close associate of former Yukos boss Mikhail Khodorkovsky said there were ""absurd contradictions"" in a case centring around the privatisation of a fertiliser firm.",business_13_3,business
business_13,"Opening A close associate of former Yukos boss Mikhail Khodorkovsky's defence, A close associate of former Yukos boss Mikhail Khodorkovsky said A close associate of former Yukos boss Mikhail Khodorkovsky could not see the legal basis of the charges A close associate of former Yukos boss Mikhail Khodorkovsky faced, which also include allegations of tax evasion.",business_13_4,business
business_13,"""To A close associate of former Yukos boss Mikhail Khodorkovsky's embarrassment, A close associate of former Yukos boss Mikhail Khodorkovsky could not understand the file of complaints against A close associate of former Yukos boss Mikhail Khodorkovsky,"" A close associate of former Yukos boss Mikhail Khodorkovsky told a court.",business_13_5,business
business_13,"A close associate of former Yukos boss Mikhail Khodorkovsky headed the Menatep group, the parent company of Yukos.",business_13_6,business
business_13,"A close associate of former Yukos boss Mikhail Khodorkovsky and Khodorkovsky, who each face a possible 10 year jail sentence if convicted, will be questioned by a judge over the next few days.",business_13_7,business
business_13,"Khodorkovsky began Khodorkovsky's testimony last week, telling a court that Khodorkovsky objected to the way that the ""running of a normal business has been presented as a work of criminal fiction"".",business_13_8,business
business_13,"fraud charges levelled against him are seen by supporters as politically motivated and part of a drive by Russian President Vladimir Putin to rein in the country's super-rich business leaders, the so-called oligarchs.",business_13_9,business
business_13,Yukos has been presented with a $27.5bn (£13bn) tax demand by the Russian authorities and Yukos's key Yugansk division was the sale off to part settle a $27.5bn (£13bn) tax demand.,business_13_10,business
business_13,Yukos's effort to gain bankruptcy protection in the US - in a bid to win damages for the sale - were dismissed by a court in Texas.,business_13_11,business
business_14,"China keeps tight rein on credit China's efforts to stop the economy from overheating by The curbs down on credit will continue into 2005, state media report.",business_14_0,business
business_14,The curbs were introduced earlier this year to ward off the risk that rapid expansion might lead to soaring prices.,business_14_1,business
business_14,There were also fears that too much stress might be placed on the fragile banking system.,business_14_2,business
business_14,"Growth in China remains at a breakneck 9.1%, and corporate investment is growing at more than 25% a year.",business_14_3,business
business_14,The breakneck pace of economic expansion has kept growth above 9% for more than a year.,business_14_4,business
business_14,Rapid tooling-up of China's manufacturing sector means a massive demand for energy - one of the factors which has kept world oil prices sky-high for most of this year.,business_14_5,business
business_14,"In theory, China has a 7% growth target, but continues to insist that the overshoot does not mean a ""hard landing"" in the shape of an overbalancing economy.",business_14_6,business
business_14,"A low exchange rate - China's yuan is pegged to a rate of 8.28 to the dollar, which seems to be in relentless decline - means Chinese exports are cheap on world markets.",business_14_7,business
business_14,China has thus far resisted international pressure to break the link or at least to shift the level of China's peg.,business_14_8,business
business_14,"To some extent, The curbs do seem to be taking effect.",business_14_9,business
business_14,"Industrial output grew 15.7% in the year to October, down from 23% in February, and inflation slowed to 4.3% - although retail sales are still booming.",business_14_10,business
business_15,"Verizon 'seals takeover of MCI' Verizon has won a takeover battle for MCI with a bid worth $6.8bn (£3.6bn), reports say.",business_15_0,business
business_15,"The two firms are expected to seal a takeover battle for US phone firm MCI with a bid worth $6.8bn (£3.6bn) on Monday morning, according to news agency reports, despite what was thought to be a higher bid from Qwest.",business_15_1,business
business_15,"The US telecoms market is consolidating fast, with former long-distance giant AT&T being bought by former subsidiary SBC earlier this year for $16bn.",business_15_2,business
business_15,"MCI exited bankruptcy in April, having gone bust under previous name WorldCom. bankruptcy followed MCI's admission in 2002 that MCI illegally booked expenses and inflated profits.",business_15_3,business
business_15,"Shareholders lost about $180bn when MCI collapsed, while 20,000 workers lost 20,000 workers's jobs.",business_15_4,business
business_15,"Former previous name WorldCom boss Bernie Ebbers is currently on trial, accused of overseeing an $11bn fraud.",business_15_5,business
business_15,"Qwest has Qwest come under suspicion of sub-standard behaviour, paying the Securities and Exchange Commission $250m in October to settle charges that Qwest manipulated Qwest's results to keep Wall Street happy.",business_15_6,business
business_15,MCI is the US's second-biggest long distance firm after former long-distance giant AT&T Consolidation in The US telecoms market has picked up in the past few months as companies look to cut costs and boost client bases.,business_15_7,business
